resolution,mode,ssim,ssim_rank,psnr,psnr_rank,lpips,lpips_rank,flip,flip_rank
1080p,Performance,0.8724477090428223,8,24.75100094703103,13,0.1239252441595472,3,4.887051360541252,12
1080p,Ultra_Performance,0.841045671971,14,23.7987109851155,19,0.1608490353103858,9,5.525875213457711,19
1080p,Quality,0.7903186270137371,21,22.705915728634764,24,0.1752669191032703,12,6.399216563556199,25
1080p,Balanced,0.7899737769387305,22,22.503902869395937,26,0.1742389516636894,11,6.319565291334342,23
1080p,Performance,0.6955676151377689,33,18.30628337561418,36,0.2932938947256421,32,10.523538241527175,33
1080p,Ultra_Performance,0.781566408667679,24,21.920620524824542,28,0.2183094466459729,23,7.04394162560567,28
1080p,Quality,0.8430005778147521,13,22.61413768721689,25,0.2291977241552076,26,5.6560544901054,20
1080p,Balanced,0.8847350787850066,5,24.940185566526345,11,0.1829804352708369,13,4.21142808119012,8
1080p,Performance,0.8532984446546885,11,23.407337736091613,21,0.2250405426381686,24,5.2646440958510565,16
1080p,Ultra_Performance,0.8792822863802564,6,24.782498800881125,12,0.2140430795164081,21,4.5670879406635985,9
1080p,Quality,0.4766908912907673,39,17.05306928620278,39,0.4729689437837068,38,16.951244189184678,39
1080p,Balanced,0.4736988021882092,40,16.90927425491684,40,0.4886984311238291,40,17.639423697505247,40
1080p,Performance,0.4952705368945933,38,17.712991266433534,37,0.4508858408906065,37,16.37102869501533,37
1080p,Ultra_Performance,0.4959286618605256,37,17.21146095861028,38,0.480802040323615,39,16.497515645325183,38
1080p,Quality,0.7954429462552071,20,23.38824950510762,22,0.3285406219715975,36,6.670781817971443,27
1080p,Balanced,0.8353799138663682,15,25.76192761841182,7,0.2038958378079283,19,4.813198671389475,11
1080p,Performance,0.9131801841514452,2,29.387773452843337,1,0.1260091564998182,4,3.1707532500125923,3
1080p,Ultra_Performance,0.9168503536219512,1,29.3431302121932,2,0.1347870434665194,5,3.2305562763117046,4
1080p,Quality,0.6652310871354797,35,18.81596995013733,34,0.2947201386936392,33,11.24201645187157,35
1080p,Balanced,0.6568956207484007,36,18.51732020463253,35,0.3145249861751354,35,11.73812282299075,36
1080p,Performance,0.7850305263829582,23,22.310241762123272,27,0.1412362199078095,6,6.374434416182339,24
1080p,Ultra_Performance,0.6874067728125721,34,19.2450188686071,33,0.2781725342035157,31,10.461167644032644,32
1440p,Ultra_Performance,0.8432419740288011,12,23.86538575378796,14,0.2116423834072933,18,5.916937957687134,17
1440p,Balanced,0.822387368690794,15,23.26152135629299,18,0.2046610009433193,15,6.285358148711649,18
1440p,Quality,0.8479425934651359,10,24.25140651002628,12,0.1836327771730297,11,5.453293416649103,13
1440p,Performance,0.8435758069760844,11,24.126242654289445,13,0.1957483621504665,14,5.7176982299001375,16
1440p,Ultra_Performance,0.9146359703847482,1,30.05783386621783,1,0.1545326051252017,5,2.345769537435033,1
1440p,Balanced,0.8610388935848885,9,27.12789415136231,4,0.1702239281532675,7,3.3103902790061666,4
1440p,Quality,0.8949218998311467,2,28.70484428709925,2,0.1474448208121343,3,2.6455928487896423,2
1440p,Performance,0.8643004144870394,7,27.191779569523725,3,0.1701655194657967,6,3.226076753307675,3
1440p,Ultra_Performance,0.7373884423809537,20,21.362718886443343,24,0.2755304182393576,26,9.518326827077626,24
1440p,Balanced,0.7118029781498179,26,20.334587857022544,27,0.2989258666459578,27,10.748045523887722,27
1440p,Quality,0.7286035082918607,22,21.00625786994009,25,0.2668476866408235,24,10.065184919468765,26
1440p,Performance,0.7263640465351653,23,20.91795927282219,26,0.2705571521466564,25,9.883517841471749,25
1440p,Ultra_Performance,0.7350734618474852,21,24.70877747869293,7,0.2253810556352584,22,5.0721133904913795,9
1440p,Balanced,0.7225984981599843,25,24.37566807969523,10,0.1953758236758283,13,5.164901258118609,10
1440p,Quality,0.7111707229940396,27,23.79972862367499,15,0.2165058736275757,20,5.647137452490224,14
1440p,Performance,0.7226491027142642,24,24.26708684598563,11,0.2060859945032925,16,5.238745075595601,11
1440p,Ultra_Performance,0.8020714788807365,17,21.99353855926977,21,0.2236001521797108,21,6.9575794971078855,23
1440p,Balanced,0.810870739682835,16,22.443030223295885,19,0.1832026564258726,10,6.357490067505957,19
